Período;Inflación;Dólar Observado;Indice Actividad Minera;Indice Actividad Industria;Indice Actividad Resto de bienes;Indice Activdad Comercio;Indice Actividad Servicios;TPM;M1;M2;M3;Precio Petróleo (USD);Precio Cobre (USD);IPSA (CLP)
01-01-04;-0,002;573,6414286;96,59371335;67,22243951;72,7272497;49,0801895;46,90518895;0,018690476;12258,85359;49741,75287;101788,1248;33,05;1,142;1408,86
01-02-04;0;584,306;89,89454155;63,11557121;79,15108824;45,70046919;44,44762013;0,0175;12120,89633;49943,85146;101922,4851;36,16;1,346;1543,08
01-03-04;0,004;603,9121739;99,16814898;72,2864273;76,11768083;52,19556736;52,76308013;0,0175;12848,18405;50938,75355;103650,3277;35,76;1,358;1458,9
01-04-04;0,004;608,1871429;99,17198691;70,56366361;63,82851415;53,73122332;53,29994021;0,0175;12293,53521;50893,92504;103414,0946;37,38;1,2075;1430,6
01-05-04;0,005;635,7575;103,8532104;69,6224015;56,79387895;52,35984622;53,60025909;0,0175;12797,48366;50915,33147;103385,9559;39,88;1,2745;1428,8
01-06-04;0,004;643,4965;106,6424897;68,00111834;51,13304506;48,65497886;53,26751296;0,0175;12970,16468;51103,78376;103927,9154;37,05;1,208;1482,98
01-07-04;0,002;632,3936364;104,227205;70,90991816;50,11677134;49,91375993;50,95094868;0,0175;12909,3978;52136,75596;104505,7612;43,8;1,298;1520,85
01-08-04;0,004;635,9318182;105,2144065;68,57373968;49,7257234;49,0256769;54,37202337;0,0175;12885,17259;52736,76471;105078,7764;42,12;1,2815;1631,41
01-09-04;0,001;616,5519048;102,723663;68,21388826;49,46965958;45,3538264;52,48633757;0,019404762;13340,25984;54165,84085;106639,8801;49,64;1,396;1707,02
01-10-04;0,003;607,2785;110,578029;75,89112193;55,52865251;53,97997079;55,83892463;0,02;13552,39095;55351,61898;107534,6631;51,76;1,3325;1768,2
01-11-04;0,003;596,72;104,1491182;71,55010646;59,89107328;54,18374967;57,60641191;0,0215;13568,93481;55231,88411;108216,732;49,13;1,439;1790,47
01-12-04;-0,004;576,17;111,1881641;73,94815976;73,27905249;66,07224129;54,26382808;0,0225;14397,47785;56555,92142;109523,4384;43,45;1,4525;1796,48
01-01-05;-0,003;574,1195238;93,15005192;70,3967004;81,78465106;55,50300898;50,32464894;0,024166667;14793,06299;57993,71555;109880,6643;48,2;1,421;1809,88
01-02-05;-0,001;573,584;84,57748477;64,6184708;87,07555767;51,61518003;47,57699026;0,0265;14572,00617;58352,38957;110184,366;51,75;1,4985;1895,2
01-03-05;0,006;586,4827273;96,68782795;72,85228389;81,83595825;58,79571368;56,00394029;0,0275;14396,96424;58609,2249;110496,006;55,4;1,497;1961,69
