Período;Inflación;Dólar Observado;Indice Actividad Minera;Indice Actividad Industria;Indice Actividad Resto de bienes;Indice Activdad Comercio;Indice Actividad Servicios;TPM;M1;M2;M3;Precio Petróleo (USD);Precio Cobre (USD);IPSA (CLP)
01-01-04;-0.002;573.641.428.571.429;96.593.713.347.044;67.222.439.512.142;72.727.249.703.033;4.908.018.950.334;46.905.188.945.401;0.0186904761904762;122.588.535.949.228;497.417.528.726.271;101.788.124.779.556;33.05;1.142;1408.86
01-02-04;0;584.306;8.989.454.154.623;6.311.557.120.996;79.151.088.235.162;45.700.469.188.294;44.447.620.132.816;0.0175;121.208.963.253.383;499.438.514.611.077;101.922.485.104.086;36.16;1.346;1543.08
01-03-04;0.004;603.912.173.913.044;99.168.148.979.086;72.286.427.295.152;76.117.680.827.107;52.195.567.363.558;52.763.080.133.265;0.0175;128.481.840.508.627;509.387.535.487.352;103.650.327.713.409;35.76;1.358;1458.9
01-04-04;0.004;608.187.142.857.143;99.171.986.909.883;70.563.663.607.415;63.828.514.146.217;53.731.223.321.286;53.299.940.213.148;0.0175;122.935.352.081.837;508.939.250.445.145;103.414.094.592.495;37.38;12.075;1430.6
01-05-04;0.005;6.357.575;10.385.321.039.478;69.622.401.504.937;56.793.878.946.844;52.359.846.219.424;53.600.259.093.357;0.0175;127.974.836.611.925;509.153.314.692.541;103.385.955.927.839;39.88;12.745;1428.8
01-06-04;0.004;6.434.965;10.664.248.965.433;68.001.118.340.987;51.133.045.064.676;4.865.497.885.878;53.267.512.955.552;0.0175;129.701.646.818.298;511.037.837.607.243;103.927.915.442.868;37.05;1.208;1482.98
01-07-04;0.002;632.393.636.363.636;10.422.720.495.736;70.909.918.162.871;50.116.771.335.684;49.913.759.929.234;50.950.948.682.134;0.0175;129.093.977.971.945;521.367.559.589.049;104.505.761.159.589;43.8;1.298;1520.85
01-08-04;0.004;635.931.818.181.818;1.052.144.065.077;68.573.739.678.068;49.725.723.401.989;49.025.676.898.092;54.372.023.370.318;0.0175;128.851.725.862.148;527.367.647.142.843;105.078.776.397.443;42.12;12.815;1631.41
01-09-04;0.001;616.551.904.761.905;10.272.366.299.908;68.213.888.256.845;49.469.659.579.953;45.353.826.397.015;52.486.337.568.207;0.0194047619047619;133.402.598.386.057;541.658.408.462.107;106.639.880.092.192;49.64;1.396;1707.02
01-10-04;0.003;6.072.785;11.057.802.901.158;7.589.112.192.749;5.552.865.251.351;5.397.997.078.786;55.838.924.633.314;0.02;135.523.909.506.861;553.516.189.828.374;107.534.663.149.577;51.76;13.325;1768.2
01-11-04;0.003;596.72;10.414.911.824.837;71.550.106.458.182;59.891.073.283.958;5.418.374.967.231;57.606.411.910.586;0.0215;135.689.348.098.084;552.318.841.100.899;108.216.732.005.531;49.13;1.439;1790.47
01-12-04;-0.004;576.17;11.118.816.414.472;73.948.159.757.252;73.279.052.492.567;66.072.241.294.506;54.263.828.079.724;0.0225;143.974.778.548.681;565.559.214.160.459;109.523.438.424.499;43.45;14.525;1796.48
01-01-05;-0.003;574.119.523.809.524;93.150.051.916.554;70.396.700.397.368;81.784.651.059.701;55.503.008.978.953;50.324.648.937.446;0.0241666666666667;147.930.629.897.893;579.937.155.455.429;109.880.664.278.313;48.2;1.421;1809.88
01-02-05;-0.001;573.584;84.577.484.765.927;64.618.470.804.652;87.075.557.673.877;51.615.180.029.756;4.757.699.026.417;0.0265;145.720.061.712.298;583.523.895.693.305;110.184.366.016.341;51.75;14.985;1895.2
01-03-05;0.006;586.482.727.272.727;96.687.827.946.333;72.852.283.894.104;81.835.958.250.511;5.879.571.368.254;56.003.940.286.734;0.0275;143.969.642.418.935;586.092.248.993.587;110.496.005.956.352;55.4;1.497;1961.69
01-04-05;0.009;580.455.714.285.714;87.443.221.042.836;7.661.712.427.079;69.908.360.623.862;61.391.926.168.306;57.028.532.817.934;0.0294047619047619;144.128.602.697.762;595.399.246.442.043;111.341.241.108.554;49.72;1.464;1956.98
