Per’odo	Inflaci—n	D—lar Observado	Indice Actividad Minera	Indice Actividad Industria	Indice Actividad Resto de bienes	Indice Activdad Comercio	Indice Actividad Servicios	TPM	M1	M2	M3	Precio Petr—leo (USD)	Precio Cobre (USD)	IPSA (CLP)	Inflaci—n Internacional 
01-01-2004	-0,20%	573,64	96,59	67,22	72,73	49,08	46,91	1,87%	12258,9	49741,8	101788,1	33,1	1,1	1408,9	-0,80%
01-02-2004	0,00%	584,31	89,89	63,12	79,15	45,7	44,45	1,75%	12120,9	49943,9	101922,5	36,2	1,3	1543,1	0,00%
01-03-2004	0,40%	603,91	99,17	72,29	76,12	52,2	52,76	1,75%	12848,2	50938,8	103650,3	35,8	1,4	1458,9	0,60%
01-04-2004	0,40%	608,19	99,17	70,56	63,83	53,73	53,3	1,75%	12293,5	50893,9	103414,1	37,4	1,2	1430,6	-0,80%
01-05-2004	0,50%	635,76	103,85	69,62	56,79	52,36	53,6	1,75%	12797,5	50915,3	103386	39,9	1,3	1428,8	0,00%
01-06-2004	0,40%	643,5	106,64	68	51,13	48,65	53,27	1,75%	12970,2	51103,8	103927,9	37,1	1,2	1483	-0,30%
01-07-2004	0,20%	632,39	104,23	70,91	50,12	49,91	50,95	1,75%	12909,4	52136,8	104505,8	43,8	1,3	1520,9	0,60%
01-08-2004	0,40%	635,93	105,21	68,57	49,73	49,03	54,37	1,75%	12885,2	52736,8	105078,8	42,1	1,3	1631,4	-1,10%
01-09-2004	0,10%	616,55	102,72	68,21	49,47	45,35	52,49	1,94%	13340,3	54165,8	106639,9	49,6	1,4	1707	0,80%
01-10-2004	0,30%	607,28	110,58	75,89	55,53	53,98	55,84	2,00%	13552,4	55351,6	107534,7	51,8	1,3	1768,2	-0,20%
01-11-2004	0,30%	596,72	104,15	71,55	59,89	54,18	57,61	2,15%	13568,9	55231,9	108216,7	49,1	1,4	1790,5	0,10%
01-12-2004	-0,40%	576,17	111,19	73,95	73,28	66,07	54,26	2,25%	14397,5	56555,9	109523,4	43,5	1,5	1796,5	1,00%
01-01-2005	-0,30%	574,12	93,15	70,4	81,78	55,5	50,32	2,42%	14793,1	57993,7	109880,7	48,2	1,4	1809,9	-10,60%
01-02-2005	-0,10%	573,58	84,58	64,62	87,08	51,62	47,58	2,65%	14572	58352,4	110184,4	51,8	1,5	1895,2	-0,20%
01-03-2005	0,60%	586,48	96,69	72,85	81,84	58,8	56	2,75%	14397	58609,2	110496	55,4	1,5	1961,7	0,60%
01-04-2005	0,90%	580,46	87,44	76,62	69,91	61,39	57,03	2,94%	14412,9	59539,9	111341,2	49,7	1,5	1957	0,70%
01-05-2005	0,30%	578,31	93,91	72,81	63,83	57,48	56,62	3,14%	14622,4	60391,2	112759,9	52	1,4	1968,8	-0,20%
01-06-2005	0,40%	585,47	94,3	71,89	58,79	53,72	56,81	3,25%	14342	61251,7	113706,9	56,5	1,5	2056,8	-0,10%
01-07-2005	0,60%	575,77	91,44	73,08	56,91	54,89	53,72	3,40%	14166,7	61663,8	113606,7	60,6	1,6	2175,1	0,30%
01-08-2005	0,30%	546,61	105,88	71,11	56,03	54,4	57,62	3,65%	13919,3	61346,7	113503,9	68,9	1,7	2086,3	-0,20%
01-09-2005	1,00%	536,7	94,39	70,32	55,38	51,73	56,05	3,93%	13926,1	60917	113264,6	66,2	1,7	2152,8	0,90%
01-10-2005	0,50%	535,5	99,61	77,57	60,18	59,92	58,89	4,18%	13894,2	62256,6	113918,2	59,8	1,8	2072,6	0,80%
01-11-2005	-0,20%	529,88	100,61	75,99	63,48	59,55	61,5	4,42%	14093,6	64018,9	116114,4	57,3	2	2027,6	0,30%
01-12-2005	-0,30%	514,33	111,77	81,19	76,11	72,44	58,32	4,50%	15446,3	67645,8	119570,5	61	2	1964,5	-0,60%
01-01-2006	0,10%	524,48	89,87	76,31	85,33	59,3	53,63	4,50%	15431	67760,4	118948,9	67,9	2,2	2118,5	-1,80%
01-02-2006	-0,10%	525,7	88,48	70,35	93,92	56,22	50,72	4,66%	15385,3	68364,7	119865	61,4	2,2	2166,8	1,20%
01-03-2006	0,60%	528,77	94,02	76,12	89,15	63,01	59,62	4,75%	15277,8	69002	120237,1	66,6	2,5	2182	0,50%
01-04-2006	0,60%	517,33	93,17	77,46	75,8	65,2	60,16	4,88%	15376,2	69523,5	120338,1	71,9	3,2	2201,6	0,50%
01-05-2006	0,20%	520,79	97,49	77,18	68,66	64,37	60,97	5,00%	15457	70197,2	121131,1	71,3	3,6	2156,5	0,10%
01-06-2006	0,60%	542,46	100,67	74,83	62,52	59,95	60,49	5,00%	15619,1	70698,1	121413,7	73,9	3,4	2126	-0,30%
01-07-2006	0,50%	540,62	95,47	76,07	60,62	59,22	57,36	5,14%	15273,5	70408,5	120302,3	74,4	3,6	2131,6	-0,10%
01-08-2006	0,30%	538,53	95,75	73,65	59,29	59,73	61,43	5,25%	15168,5	71900,6	121857,2	70,3	3,5	2206,4	0,00%
01-09-2006	0,00%	538,65	97,06	74,08	57,66	58,19	60,09	5,25%	15695,7	73463	124756,7	62,9	3,5	2280,5	0,50%
01-10-2006	-0,30%	530,95	106,98	82,57	62,09	64,42	63,84	5,25%	15367,8	73151,2	124920	58,7	3,3	2380,3	0,60%
01-11-2006	-0,20%	527,44	100,26	77,64	65,34	64,9	66,31	5,25%	15647,7	74219,9	126419,3	63,1	3,2	2559,7	0,50%
01-12-2006	0,10%	527,58	111,18	83,04	79,37	79,49	62,72	5,25%	17049	76776,4	129230,9	61,1	2,9	2693,2	0,90%
01-01-2007	0,30%	540,51	95,49	75,54	85,05	64,83	58,23	5,09%	17416,5	78270,3	130235,1	58,1	2,6	2895,3	-0,80%
01-02-2007	-0,20%	542,27	87,78	72,57	90,28	61,26	54,92	5,00%	17342	79105,7	131672,6	61,8	2,8	2811,6	0,30%
01-03-2007	0,40%	538,49	105,23	79,84	84,18	68,49	64,61	5,00%	17351,5	79843,1	132410,4	65,9	3,1	2929	0,40%
01-04-2007	0,60%	532,3	96,55	80,67	72,46	70,37	65,57	5,00%	17673,6	80784,8	132614,9	65,7	3,6	3161,2	0,10%
01-05-2007	0,60%	522,02	102,51	78,62	64,85	67,79	66,04	5,00%	17667,8	81511,2	134107,4	64	3,4	3279,5	0,20%
01-06-2007	0,90%	526,72	104,1	76,69	57,93	62,89	65,93	5,00%	17589,2	82169,8	134695,3	70,7	3,5	3470,2	0,30%
01-07-2007	1,10%	519,8	90,15	78,06	55,69	63,45	62,45	5,15%	17485,5	82430,7	134554,5	78,2	3,6	3340,4	1,00%
01-08-2007	1,10%	522,92	99,26	75,14	53,79	62,97	66,62	5,42%	17260,5	81726,1	133893	74	3,4	3310,1	1,30%
01-09-2007	1,10%	516,91	105,64	72,41	53,37	60,39	64,84	5,62%	17605,5	81422,8	133453,1	81,7	3,6	3249	1,10%
01-10-2007	0,30%	501,44	101,9	82,55	59,76	69,57	69,58	5,75%	17143,5	82032	134537,8	94,5	3,5	3451,2	0,80%
01-11-2007	0,80%	506,95	97,04	80,33	63,59	70,26	72,13	5,75%	17717,9	84159,5	136680,5	88,7	3,2	3204,5	0,90%
01-12-2007	0,50%	499,28	111,91	82,65	76,85	86,35	68,75	5,88%	18668	86834,9	138544,5	96	3	3051,8	0,70%
